AÑO;MES;PROVINCIA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2022;7;Málaga;Europa;Luxemburgo;1827,0;16443,0;9,0
2022;7;Málaga;Europa;Macedonia del Norte;71,0;419,0;5,9
2022;7;Málaga;Europa;Malta;302,0;2235,0;7,4
2022;7;Málaga;Europa;Moldavia;97,0;776,0;8,0
2022;7;Málaga;Europa;Montenegro;30,0;207,0;6,9
2022;7;Málaga;Europa;Noruega;25906,0;235745,0;9,1
2022;7;Málaga;Europa;Países Bajos;31886,0;261465,0;8,2
2022;7;Málaga;Europa;Polonia;11458,0;81352,0;7,1
2022;7;Málaga;Europa;Portugal;7861,0;50310,0;6,4
2022;7;Málaga;Europa;Reino Unido;218447,0;1612401,0;6,65
2022;7;Málaga;Europa;República Checa;4272,0;33322,0;7,8
2022;7;Málaga;Europa;República Eslovaca;1149,0;9767,0;8,5
2022;7;Málaga;Europa;Rumanía;2898,0;24343,0;8,4
2022;7;Málaga;Europa;Rusia;1651,0;15519,0;9,4
2022;7;Málaga;Europa;Serbia;229,0;1649,0;7,2
2022;7;Málaga;Europa;Suecia;35647,0;306564,0;8,6
2022;7;Málaga;Europa;Suiza;10651,0;82013,0;7,7
2022;7;Málaga;Europa;Turquía;570,0;3135,0;5,5
2022;7;Málaga;Oceanía;Australia;706,0;5295,0;7,5
2022;7;Málaga;Oceanía;Nueva Zelanda;140,0;1078,0;7,7
2022;7;Málaga;Total;Total;615556,0;4871231,0;7,9
2022;7;Málaga;Total;Total América;20674,0;161987,0;7,8
2022;7;Málaga;Total;Total América del Norte;15996,0;113595,0;7,1
2022;7;Málaga;Total;Total Asia;13798,0;97366,0;7,1
2022;7;Málaga;Total;Total Centroamérica y Caribe;236,0;2091,0;8,9
2022;7;Málaga;Total;Total Europa;562731,0;4504367,0;8,0
2022;7;Málaga;Total;Total Oceanía;848,0;6407,0;7,6
2022;7;Málaga;Total;Total Sudamérica;4442,0;46301,0;10,4
2022;7;Málaga;Total;Total África;17505,0;101104,0;5,8
2022;7;Málaga;África;Argelia;212,0;1463,0;6,9
2022;7;Málaga;África;Egipto;277,0;1634,0;5,9
2022;7;Málaga;África;Kenia;46,0;248,0;5,4
2022;7;Málaga;África;Mali;37,0;218,0;5,9
2022;7;Málaga;África;Marruecos;16104,0;91793,0;5,7
2022;7;Málaga;África;Nigeria;189,0;1304,0;6,9
2022;7;Málaga;África;República Democrática del Congo;40,0;212,0;5,3
2022;7;Málaga;África;Senegal;142,0;966,0;6,8
2022;7;Málaga;África;Sudáfrica;192,0;1440,0;7,5
2022;7;Málaga;África;Túnez;96,0;662,0;6,9
2022;8;Málaga;América;Argentina;1580,0;20066,0;12,7
2022;8;Málaga;América;Brasil;726,0;8494,0;11,7
2022;8;Málaga;América;Canadá;2776,0;19710,0;7,1
2022;8;Málaga;América;Chile;244,0;2147,0;8,8
2022;8;Málaga;América;Colombia;1086,0;11729,0;10,8
2022;8;Málaga;América;Ecuador;70,0;840,0;12,0
2022;8;Málaga;América;Estados Unidos de América;8661,0;73619,0;8,5
2022;8;Málaga;América;México;933,0;6624,0;7,1
2022;8;Málaga;América;Nicaragua;49,0;372,0;7,6
2022;8;Málaga;América;Panamá;64,0;774,0;12,1
2022;8;Málaga;América;Paraguay;227,0;2020,0;8,9
2022;8;Málaga;América;Perú;130,0;1300,0;10,0
2022;8;Málaga;América;Uruguay;107,0;1220,0;11,4
2022;8;Málaga;América;Venezuela;120,0;2172,0;18,1
2022;8;Málaga;Asia;Arabia Saudí;5220,0;52722,0;10,1
2022;8;Málaga;Asia;Azerbaiyán;49,0;314,0;6,4
2022;8;Málaga;Asia;Bahréin;531,0;6160,0;11,6
2022;8;Málaga;Asia;China;807,0;6940,0;8,6
2022;8;Málaga;Asia;Corea;157,0;926,0;5,9
